iter	Passed	Remaining
0	0	80
1	1	70
2	2	66
3	2	60
4	3	59
5	3	59
6	4	59
7	5	57
8	5	57
9	6	56
10	6	55
11	7	55
12	8	54
13	8	54
14	9	53
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	50
21	13	49
22	14	49
23	15	48
24	16	48
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	20	44
31	20	43
32	21	43
33	21	42
34	22	42
35	23	41
36	23	40
37	24	40
38	25	39
39	25	38
40	26	38
41	26	36
42	27	36
43	27	35
44	28	35
45	29	34
46	30	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
