iter	Passed	Remaining
0	151	151695
1	152	76058
2	152	50845
3	155	38780
4	159	31762
5	163	27027
6	167	23713
7	171	21224
8	174	19191
9	178	17655
10	181	16309
11	185	15289
12	189	14372
13	192	13535
14	194	12799
15	197	12143
16	200	11579
17	202	11058
18	205	10619
19	208	10210
20	210	9832
21	213	9473
22	214	9114
23	215	8782
24	217	8479
25	219	8205
26	220	7938
27	221	7686
28	222	7453
29	223	7233
30	224	7026
31	225	6831
32	226	6647
33	227	6474
34	228	6310
35	229	6155
36	230	6009
37	231	5867
38	232	5733
39	233	5604
40	234	5483
41	235	5366
42	236	5260
43	237	5157
44	238	5058
45	239	4960
46	240	4868
47	241	4781
48	241	4695
49	242	4613
50	243	4534
51	244	4456
52	245	4381
53	246	4309
54	246	4239
55	247	4170
56	248	4104
57	248	4041
58	249	3980
59	250	3920
60	250	3861
61	251	3804
62	252	3748
63	252	3694
64	253	3641
65	253	3590
66	254	3541
67	254	3492
68	255	3447
69	256	3401
70	256	3357
71	257	3314
72	257	3272
73	258	3230
74	258	3189
75	259	3150
76	259	3111
77	260	3074
78	260	3038
79	261	3003
80	261	2969
81	262	2936
82	262	2901
83	263	2870
84	263	2838
85	264	2807
86	264	2777
87	265	2748
88	265	2719
89	266	2691
90	266	2664
91	267	2637
92	267	2611
93	268	2585
94	268	2561
95	269	2537
96	270	2513
97	270	2490
98	271	2468
99	271	2445
100	272	2423
101	272	2400
102	273	2379
103	273	2358
104	274	2338
105	274	2318
106	275	2299
107	276	2280
108	276	2260
109	277	2242
110	277	2223
111	278	2204
112	278	2186
113	279	2168
114	279	2151
115	280	2133
116	280	2116
117	280	2100
118	281	2084
119	282	2068
120	282	2052
121	283	2036
122	283	2022
123	284	2007
124	284	1992
125	285	1978
126	285	1962
127	286	1948
128	286	1935
129	287	1921
130	287	1908
131	288	1895
132	288	1883
133	289	1870
134	290	1858
135	290	1845
136	291	1833
137	291	1821
138	292	1809
139	292	1797
140	293	1787
141	293	1775
142	294	1763
143	294	1753
144	295	1742
145	295	1731
146	296	1720
147	296	1709
148	297	1699
149	298	1689
150	298	1678
151	299	1668
152	299	1659
153	300	1649
154	300	1639
155	301	1630
156	301	1620
157	302	1610
158	302	1601
159	303	1591
160	303	1581
161	304	1572
162	304	1563
163	305	1555
164	305	1546
165	306	1538
166	306	1530
167	307	1522
168	307	1514
169	308	1505
170	308	1497
171	309	1489
172	309	1481
173	310	1473
174	310	1466
175	311	1458
176	312	1451
177	312	1444
178	313	1437
179	313	1429
180	314	1423
181	315	1416
182	315	1408
183	316	1401
184	316	1394
185	317	1388
